City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
393,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
395,Kavieng,PG,82.47,few clouds,-2.5744,150.7967,Nusa Island Retreat
398,Tam Ky,VN,76.64,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
399,Gorom-Gorom,BF,83.28,light rain,14.4439,-0.2361,Crôa Mares Hotel
402,Mazamet,FR,80.22,clear sky,43.49,2.373,La Villa de Mazamet
406,Quepos,CR,82.65,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
407,Pontal Do Parana,BR,70.99,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
408,Jerantut,MY,74.05,light rain,3.936,102.3626,Jerantut Hill Resort
412,Nantucket,US,71.71,clear sky,41.2835,-70.0995,Jared Coffin House
414,Vanimo,PG,77.43,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
415,Mitsamiouli,KM,80.64,light rain,-11.3847,43.2844,Foyer ADM
416,Ajra,IN,71.56,broken clouds,16.1167,74.2,Hotel Minerva Paradise
418,Corrales,US,71.4,clear sky,35.2378,-106.6067,Quality Inn
422,Nanakuli,US,80.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
426,Qinzhou,CN,75.78,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
427,Kikwit,CD,72.84,light rain,-5.041,18.8162,HOTEL PLACE YALABA
430,Teacapan,MX,82.98,few clouds,22.55,-105.75,Hotel los Mangos
434,Canton,CN,76.87,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
435,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
436,Tougan,BF,87.58,overcast clouds,13.0667,-3.0667,Hôtel SMAK
439,Paris,FR,70.09,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
445,Faro,PT,75.18,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
447,Lolodorf,CM,70.57,overcast clouds,3.2333,10.7333,Auberge La Decouverte
449,Abu Kamal,SY,84.33,overcast clouds,34.4506,40.9171,البوكمال
455,Sobradinho,BR,72.97,clear sky,-12.8333,-39.1,Pousada Pau Brasil
