City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
375,Sterling,39.0062,-77.4286,93.15,57,75,8.05,broken clouds,US,2022-05-22 19:33:16
376,Caramay,10.1815,119.236,78.37,86,100,0.74,overcast clouds,PH,2022-05-22 19:33:16
377,Mulege,26.8833,-111.9833,87.13,35,1,12.26,clear sky,MX,2022-05-22 19:33:17
378,Rawson,-43.3002,-65.1023,49.39,70,100,6.64,moderate rain,AR,2022-05-22 19:33:17
379,Bambanglipuro,-7.95,110.2833,75.74,88,82,4.0,broken clouds,ID,2022-05-22 19:33:18
380,Kamariotissa,40.4833,25.4667,65.82,86,96,1.41,overcast clouds,GR,2022-05-22 19:33:18
381,Batticaloa,7.7102,81.6924,81.19,69,14,9.15,few clouds,LK,2022-05-22 19:33:18
382,Stephenville,32.2207,-98.2023,75.87,46,0,4.61,clear sky,US,2022-05-22 19:33:18
383,Ushtobe,45.2514,77.9838,62.62,33,100,3.71,moderate rain,KZ,2022-05-22 19:33:19
384,Pangai,-19.8,-174.35,77.11,88,20,3.44,few clouds,TO,2022-05-22 19:33:19
385,Rio Gallegos,-51.6226,-69.2181,40.42,52,1,8.57,clear sky,AR,2022-05-22 19:33:19
386,Tateyama,34.9833,139.8667,66.31,87,11,10.74,few clouds,JP,2022-05-22 19:33:20
387,Bontang,0.1333,117.5,75.9,88,100,4.09,overcast clouds,ID,2022-05-22 19:33:20
388,Fershampenuaz,53.5202,59.8117,37.92,89,12,7.47,few clouds,RU,2022-05-22 19:33:21
389,San Felipe,10.3399,-68.7425,86.2,57,71,10.49,broken clouds,VE,2022-05-22 19:33:21
390,Uravakonda,14.95,77.2667,76.71,73,35,19.39,scattered clouds,IN,2022-05-22 19:33:21
391,Sibu,2.3,111.8167,77.31,88,40,2.3,scattered clouds,MY,2022-05-22 19:33:22
392,Aripuana,-9.1667,-60.6333,88.38,41,11,2.24,few clouds,BR,2022-05-22 19:33:22
393,Nhulunbuy,-12.2333,136.7667,75.81,94,40,4.61,scattered clouds,AU,2022-05-22 19:33:22
394,Port Hardy,50.6996,-127.4199,51.98,82,75,4.61,broken clouds,CA,2022-05-22 19:33:23
395,Kavieng,-2.5744,150.7967,82.47,68,13,16.75,few clouds,PG,2022-05-22 19:33:23
396,Scarborough,54.2797,-0.4044,60.33,90,100,11.56,overcast clouds,GB,2022-05-22 19:31:25
397,Ionia,42.9873,-85.0711,62.8,47,75,16.11,broken clouds,US,2022-05-22 19:33:23
398,Tam Ky,15.5667,108.4833,76.64,91,100,4.81,overcast clouds,VN,2022-05-22 19:33:24
